Time,Baro,Lidar
0,3.0265,1.8866
0.04,2.0202,1.9272
0.08,1.8729,1.9882
0.12,2.1636,2.1643
0.16,1.8967,1.8559
0.2,2.2188,1.9001
0.24,2.3528,2.0304
0.28,1.9159,2.1228
0.32,1.5043,2.1418
0.36,2.2888,1.8045
0.4,2.0943,1.8598
0.44,1.6594,4.3653
0.48,2.4506,2.1142
0.52,2.3743,1.9332
0.56,1.6768,2.1987
0.6,2.3086,1.9956
0.64,2.4678,1.9678
0.68,2.5125,2.0591
0.72,1.8631,2.0999
0.76,2.1411,1.8153
0.8,2.1955,2.0345
0.84,2.1876,1.9264
0.88,1.8785,2.1042
0.92,2.5858,1.9729
0.96,1.852,2.1692
1,2.0927,1.9243
1.04,1.6497,1.6896
1.08,2.505,2.0045
1.12,2.543,1.8902
1.16,2.0029,1.9679
1.2,2.1548,2.0402
1.24,2.0726,2.0472
1.28,1.8448,2.0287
1.32,2.4962,2.1351
1.36,2.3676,1.8378
1.4,2.2173,2.1084
1.44,2.5889,1.7945
1.48,1.9064,1.9436
1.52,2.4246,2.0114
1.56,1.6262,0.43243
1.6,1.4028,2.1556
1.64,1.6961,1.909
1.68,2.5954,1.8251
1.72,2.257,2.0657
1.76,2.2582,1.8748
1.8,1.7738,1.8067
1.84,2.1833,1.8616
1.88,1.3369,1.9989
1.92,1.7999,1.9121
1.96,2.0713,2.0442
2,2.1258,2.0361
2.04,2.025,2.1647
2.08,1.9996,1.8687
2.12,2.0323,2.0121
2.16,1.5507,2.097
2.2,1.7358,1.9996
2.24,1.5681,2.1305
2.28,1.8221,2.0256
2.32,1.7491,1.9996
2.36,2.0705,2.053
2.4,2.2445,1.8998
2.44,1.9953,2.0545
2.48,2.137,2.1081
2.52,1.9856,2.192
2.56,2.4676,1.8927
2.6,2.0587,2.2368
2.64,1.9655,2.0454
2.68,2.0754,1.9993
2.72,2.5565,1.9332
2.76,-3.4345,1.9235
2.8,1.996,2.1075
2.84,1.8483,1.995
2.88,1.8827,1.9193
2.92,2.218,2.0422
2.96,2.0358,1.8013
3,2.1265,2.0417
3.04,2.104,1.924
3.08,2.1065,2.2365
3.12,2.2544,1.9258
3.16,2.2466,2.2028
3.2,1.7935,2.0557
3.24,1.754,2.0784
3.28,1.612,2.1559
3.32,1.5277,2.0955
3.36,1.751,2.1066
3.4,2.6034,1.7725
3.44,2.211,2.0726
3.48,1.8627,1.9608
3.52,2.5209,2.1229
3.56,1.3789,1.8361
3.6,20.653,1.8003
3.64,20.653,2.0548
3.68,20.653,2.0176
3.72,20.653,2.0237
3.76,20.653,2.1617
3.8,20.653,1.8679
3.84,20.653,2.0409
3.88,20.653,2.0384
3.92,20.653,2.226
3.96,20.653,1.8483
4,20.653,1.9821
4.04,20.653,1.8687
4.08,20.653,1.8287
4.12,20.653,2.083
4.16,20.653,2.0206
4.2,20.653,1.7952
4.24,20.653,1.7247
4.28,20.653,1.8679
4.32,20.653,2.0259
4.36,20.653,1.7705
4.4,20.653,2.337
4.44,20.653,1.9612
4.48,20.653,2.0899
4.52,20.653,2.0365
4.56,20.653,2.0005
4.6,20.653,2.028
4.64,20.653,2.094
4.68,20.653,2.0943
4.72,20.653,1.8147
4.76,20.653,1.821
4.8,20.653,2.1607
4.84,20.653,2.013
4.88,20.653,2.0751
4.92,20.653,1.9194
4.96,20.653,1.9889
5,20.653,2.0208
5.04,20.653,1.9904
5.08,20.653,2.1654
5.12,20.653,1.9076
5.16,20.653,2.1869
5.2,20.653,1.9768
5.24,20.653,2.0583
5.28,20.653,2.0392
5.32,20.653,2.0365
5.36,20.653,1.9301
5.4,20.653,1.9554
5.44,20.653,2.0243
5.48,20.653,2.0767
5.52,20.653,1.9215
5.56,20.653,-13.432
5.6,20.653,1.9138
5.64,20.653,1.9727
